session_id,round_idx,input_len,output_len,prefix_len,tool_wait_after_ms
0,0,2318,200,0,300
0,1,348,131,2518,154
0,2,812,104,2997,0
1,0,861,107,0,273
1,1,358,318,968,77
1,2,694,161,1644,0
2,0,1251,289,0,334
2,1,126,141,1540,482
2,2,468,202,1807,209
2,3,340,232,2477,154
2,4,214,254,3049,149
2,5,487,236,3517,0
3,0,888,295,0,599
3,1,247,253,1183,130
3,2,685,210,1683,420
3,3,711,158,2578,121
3,4,166,176,3447,346
3,5,201,179,3789,153
3,6,509,202,4169,514
3,7,770,246,4880,216
3,8,499,241,5896,0
4,0,1346,96,0,225
4,1,666,185,1442,217
4,2,593,254,2293,326
4,3,775,172,3140,382
4,4,177,177,4087,82
4,5,443,265,4441,324
4,6,187,168,5149,372
4,7,337,315,5504,0
5,0,1739,133,0,321
5,1,262,186,1872,319
5,2,884,279,2320,458
5,3,490,172,3483,191
5,4,641,312,4145,143
5,5,893,84,5098,162
5,6,276,141,6075,482
5,7,730,92,6492,0
6,0,2020,299,0,591
6,1,377,65,2319,167
6,2,818,196,2761,398
6,3,234,210,3775,495
6,4,281,292,4219,53
6,5,859,194,4792,0
7,0,1165,319,0,158
7,1,760,212,1484,569
7,2,743,161,2456,206
7,3,502,142,3360,593
7,4,120,225,4004,550
7,5,139,117,4349,421
7,6,434,182,4605,109
7,7,366,100,5221,137
7,8,869,308,5687,0
8,0,1890,124,0,181
8,1,795,303,2014,219
8,2,391,276,3112,266
8,3,672,162,3779,369
8,4,528,251,4613,498
8,5,649,291,5392,173
8,6,373,175,6332,115
8,7,466,70,6880,285
8,8,722,172,7416,0
9,0,2249,90,0,284
9,1,189,76,2339,388
9,2,192,181,2604,0
10,0,1794,169,0,185
10,1,860,302,1963,298
10,2,604,268,3125,244
10,3,216,109,3997,491
10,4,482,276,4322,470
10,5,598,87,5080,150
10,6,182,266,5765,397
10,7,231,187,6213,0
11,0,1898,289,0,193
11,1,552,153,2187,335
11,2,593,187,2892,127
11,3,573,110,3672,0
12,0,1907,67,0,145
12,1,891,181,1974,220
12,2,536,308,3046,542
12,3,338,265,3890,110
12,4,288,254,4493,52
12,5,519,195,5035,515
12,6,412,276,5749,548
12,7,278,157,6437,0
13,0,919,91,0,371
13,1,178,85,1010,538
13,2,634,140,1273,108
13,3,640,101,2047,0
14,0,2018,94,0,290
14,1,533,121,2112,302
14,2,712,80,2766,0
15,0,2146,221,0,317
15,1,329,220,2367,294
15,2,391,262,2916,184
15,3,807,213,3569,518
15,4,443,97,4589,59
15,5,589,111,5129,0
16,0,1236,319,0,321
16,1,255,238,1555,120
16,2,370,249,2048,341
16,3,281,284,2667,359
16,4,746,64,3232,356
16,5,799,113,4042,187
16,6,390,119,4954,0
17,0,1933,139,0,328
17,1,408,167,2072,401
17,2,328,195,2647,567
17,3,620,188,3170,102
17,4,214,276,3978,333
17,5,165,61,4468,391
17,6,253,194,4694,215
17,7,879,286,5141,0
18,0,1675,64,0,164
18,1,197,136,1739,86
18,2,498,135,2072,490
18,3,250,81,2705,365
18,4,493,80,3036,416
18,5,335,187,3609,155
18,6,482,268,4131,208
18,7,362,143,4881,0
19,0,850,151,0,390
19,1,541,187,1001,323
19,2,283,115,1729,441
19,3,159,300,2127,277
19,4,324,295,2586,408
19,5,432,176,3205,0
20,0,2151,158,0,458
20,1,456,202,2309,121
20,2,405,239,2967,0
21,0,2191,229,0,78
21,1,238,193,2420,232
21,2,714,195,2851,89
21,3,231,282,3760,403
21,4,866,220,4273,496
21,5,740,119,5359,0
22,0,1189,190,0,95
22,1,845,283,1379,51
22,2,652,160,2507,422
22,3,561,95,3319,388
22,4,758,220,3975,177
22,5,857,213,4953,569
22,6,436,269,6023,0
23,0,2227,211,0,180
23,1,316,275,2438,438
23,2,813,149,3029,358
23,3,535,60,3991,361
23,4,413,167,4586,490
23,5,713,224,5166,0
24,0,1705,169,0,573
24,1,604,146,1874,136
24,2,410,231,2624,145
24,3,889,180,3265,367
24,4,350,161,4334,200
24,5,145,83,4845,0
25,0,2051,97,0,516
25,1,544,159,2148,443
25,2,626,264,2851,299
25,3,271,62,3741,159
25,4,555,172,4074,230
25,5,832,297,4801,0
26,0,1310,122,0,517
26,1,256,297,1432,593
26,2,692,222,1985,503
26,3,747,318,2899,486
26,4,681,288,3964,212
26,5,881,303,4933,510
26,6,385,186,6117,0
27,0,2392,308,0,294
27,1,401,285,2700,129
27,2,850,206,3386,290
27,3,398,231,4442,377
27,4,673,101,5071,191
27,5,274,178,5845,442
27,6,830,138,6297,269
27,7,185,272,7265,467
27,8,458,298,7722,0
28,0,1223,275,0,448
28,1,718,70,1498,439
28,2,608,63,2286,0
29,0,2343,259,0,479
29,1,671,172,2602,549
29,2,344,199,3445,496
29,3,617,74,3988,448
29,4,464,267,4679,0
30,0,1757,125,0,596
30,1,147,261,1882,77
30,2,205,279,2290,188
30,3,592,153,2774,101
30,4,386,254,3519,385
30,5,336,292,4159,384
30,6,465,254,4787,334
30,7,890,275,5506,308
30,8,203,300,6671,0
31,0,1904,86,0,408
31,1,349,95,1990,91
31,2,892,75,2434,303
31,3,324,70,3401,206
31,4,364,124,3795,534
31,5,805,118,4283,273
31,6,596,191,5206,427
31,7,291,118,5993,0
32,0,1021,73,0,369
32,1,709,252,1094,456
32,2,852,161,2055,127
32,3,726,184,3068,154
32,4,833,214,3978,0
33,0,1959,81,0,405
33,1,665,279,2040,429
33,2,190,319,2984,399
33,3,132,275,3493,551
33,4,228,281,3900,420
33,5,770,295,4409,206
33,6,565,150,5474,584
33,7,786,198,6189,545
33,8,596,283,7173,0
34,0,2544,185,0,138
34,1,405,290,2729,299
34,2,888,297,3424,438
34,3,464,74,4609,556
34,4,452,153,5147,0
35,0,1526,192,0,398
35,1,406,201,1718,60
35,2,649,157,2325,137
35,3,367,268,3131,0
36,0,2352,183,0,537
36,1,781,311,2535,508
36,2,137,107,3627,351
36,3,346,267,3871,299
36,4,433,248,4484,534
36,5,686,236,5165,485
36,6,883,229,6087,0
37,0,1729,198,0,363
37,1,377,178,1927,173
37,2,858,158,2482,373
37,3,242,154,3498,246
37,4,341,307,3894,333
37,5,861,204,4542,152
37,6,318,211,5607,282
37,7,489,151,6136,0
38,0,2250,124,0,330
38,1,166,87,2374,349
38,2,834,124,2627,0
39,0,2587,66,0,341
39,1,600,305,2653,501
39,2,468,154,3558,0
40,0,2564,304,0,166
40,1,186,265,2868,553
40,2,195,87,3319,205
40,3,272,215,3601,137
40,4,374,120,4088,0
41,0,1652,175,0,585
41,1,509,290,1827,503
41,2,424,279,2626,362
41,3,702,90,3329,151
41,4,332,168,4121,320
41,5,796,101,4621,210
41,6,365,148,5518,126
41,7,280,61,6031,468
41,8,581,300,6372,0
42,0,1274,207,0,339
42,1,839,292,1481,122
42,2,823,179,2612,0
43,0,2420,161,0,485
43,1,237,175,2581,202
43,2,392,132,2993,123
43,3,181,144,3517,364
43,4,729,207,3842,499
43,5,247,299,4778,361
43,6,836,266,5324,328
43,7,632,312,6426,498
43,8,202,80,7370,0
44,0,1460,188,0,76
44,1,213,177,1648,71
44,2,808,197,2038,91
44,3,894,149,3043,531
44,4,651,286,4086,334
44,5,305,283,5023,553
44,6,213,300,5611,406
44,7,538,230,6124,0
45,0,1014,142,0,387
45,1,541,313,1156,345
45,2,798,265,2010,87
45,3,585,105,3073,372
45,4,378,225,3763,168
45,5,533,60,4366,523
45,6,543,87,4959,242
45,7,650,245,5589,0
46,0,1705,86,0,258
46,1,393,127,1791,344
46,2,568,308,2311,174
46,3,149,182,3187,212
46,4,438,67,3518,467
46,5,215,175,4023,166
46,6,592,120,4413,207
46,7,630,209,5125,0
47,0,1359,272,0,544
47,1,603,184,1631,517
47,2,684,134,2418,442
47,3,315,320,3236,189
47,4,191,201,3871,474
47,5,468,319,4263,323
47,6,122,204,5050,355
47,7,721,310,5376,0
