request_id,session_id,round_idx,arrival_time_ms,prefix_len,input_len,output_len,tool_wait_after_ms
session_0_round_000000,0,0,0.000000,0,14438,157,2672.000000
session_0_round_000001,0,1,0.000000,14435,1724,91,50.000000
session_0_round_000002,0,2,0.000000,16154,533,79,60.000000
session_0_round_000003,0,3,0.000000,16154,1895,220,646.000000
session_0_round_000004,0,4,0.000000,16682,10349,242,1205.000000
session_0_round_000005,0,5,0.000000,27025,4269,100,70.000000
session_0_round_000006,0,6,0.000000,30362,1688,161,294.000000
session_0_round_000007,0,7,0.000000,32044,1369,171,386.000000
session_0_round_000008,0,8,0.000000,32912,1678,129,80.000000
session_0_round_000009,0,9,0.000000,34584,1110,94,30.000000
session_0_round_000010,0,10,0.000000,35689,5580,130,76.000000
session_0_round_000011,0,11,0.000000,41265,300,97,41.000000
session_0_round_000012,0,12,0.000000,41265,948,121,47.000000
session_0_round_000013,0,13,0.000000,42209,1186,120,50.000000
session_0_round_000014,0,14,0.000000,43391,596,7,0.000000
session_1_round_000000,1,0,1073.029026,0,27020,287,1429.000000
session_1_round_000001,1,1,1073.029026,27017,12828,533,72571.000000
session_1_round_000002,1,2,1073.029026,39844,4761,1751,305063.000000
session_1_round_000003,1,3,1073.029026,0,46771,370,616535.000000
session_1_round_000004,1,4,1073.029026,0,47431,2706,535659.000000
session_1_round_000005,1,5,1073.029026,0,50220,335,15817.000000
session_1_round_000006,1,6,1073.029026,50219,959,583,11045.000000
session_1_round_000007,1,7,1073.029026,51177,761,2647,857.000000
session_1_round_000008,1,8,1073.029026,51937,3835,2851,617.000000
session_1_round_000009,1,9,1073.029026,55385,4230,721,75.000000
session_1_round_000010,1,10,1073.029026,59145,1643,1592,66.000000
session_1_round_000011,1,11,1073.029026,60787,1784,287,24.000000
session_1_round_000012,1,12,1073.029026,62570,1633,1923,24.000000
session_1_round_000013,1,13,1073.029026,64202,1963,72,85.000000
session_1_round_000014,1,14,1073.029026,64202,2053,238,18054.000000
session_1_round_000015,1,15,1073.029026,66254,263,576,11467.000000
session_1_round_000016,1,16,1073.029026,66516,591,423,148842.000000
session_1_round_000017,1,17,1073.029026,67106,532,177,5197.000000
session_1_round_000018,1,18,1073.029026,67637,361,219,6324.000000
session_1_round_000019,1,19,1073.029026,67997,299,202,5485.000000
session_1_round_000020,1,20,1073.029026,68295,350,522,14331.000000
session_1_round_000021,1,21,1073.029026,68644,720,292,8092.000000
session_1_round_000022,1,22,1073.029026,69363,328,463,7802.000000
session_1_round_000023,1,23,1073.029026,69690,1327,398,8043.000000
session_1_round_000024,1,24,1073.029026,71016,1142,1466,11419.000000
session_1_round_000025,1,25,1073.029026,72157,1551,2179,36536.000000
session_1_round_000026,1,26,1073.029026,73707,2301,173,50.000000
session_1_round_000027,1,27,1073.029026,76007,700,2767,65.000000
