session_id,round_idx,input_len,output_len,prefix_len,tool_wait_after_ms
0,0,14438,157,0,2672.000000
0,1,1724,91,14435,50.000000
0,2,533,79,16154,60.000000
0,3,1895,220,16154,646.000000
0,4,10349,242,16682,1205.000000
0,5,4269,100,27025,70.000000
0,6,1688,161,30362,294.000000
0,7,1369,171,32044,386.000000
0,8,1678,129,32912,80.000000
0,9,1110,94,34584,30.000000
0,10,5580,130,35689,76.000000
0,11,300,97,41265,41.000000
0,12,948,121,41265,47.000000
0,13,1186,120,42209,50.000000
0,14,596,7,43391,0.000000
1,0,27020,287,0,1429.000000
1,1,12828,533,27017,72571.000000
1,2,4761,1751,39844,305063.000000
1,3,46771,370,0,616535.000000
1,4,47431,2706,0,535659.000000
1,5,50220,335,0,15817.000000
1,6,959,583,50219,11045.000000
1,7,761,2647,51177,857.000000
1,8,3835,2851,51937,617.000000
1,9,4230,721,55385,75.000000
1,10,1643,1592,59145,66.000000
1,11,1784,287,60787,24.000000
1,12,1633,1923,62570,24.000000
1,13,1963,72,64202,85.000000
1,14,2053,238,64202,18054.000000
1,15,263,576,66254,11467.000000
1,16,591,423,66516,148842.000000
1,17,532,177,67106,5197.000000
1,18,361,219,67637,6324.000000
1,19,299,202,67997,5485.000000
1,20,350,522,68295,14331.000000
1,21,720,292,68644,8092.000000
1,22,328,463,69363,7802.000000
1,23,1327,398,69690,8043.000000
1,24,1142,1466,71016,11419.000000
1,25,1551,2179,72157,36536.000000
1,26,2301,173,73707,50.000000
1,27,700,2767,76007,65.000000
1,28,3044,551,76706,53848.000000
1,29,659,228,79749,58.000000
1,30,3262,150,80407,273.000000
1,31,2818,3057,83668,253943.000000
1,32,3149,2288,86485,38004.000000
1,33,2582,589,89633,10323.000000
1,34,613,322,92214,166859.000000
1,35,865,355,92826,310495.000000
1,36,94804,817,0,31498.000000
1,37,4286,387,94803,17331.000000
1,38,779,1990,99088,1977621.000000
1,39,101832,2094,0,11538.000000
1,40,2157,2642,101831,100.000000
1,41,3466,144,103987,97.000000
1,42,1505,1310,107452,3798.000000
1,43,1375,471,108956,15106.000000
1,44,618,382,110330,7981.000000
1,45,1000,2006,110947,65.000000
1,46,2781,862,111946,27836.000000
1,47,945,745,114726,330539.000000
1,48,116532,837,0,244380.000000
1,49,899,327,116531,8468.000000
1,50,346,242,117429,5579.000000
1,51,267,203,117774,3962.000000
1,52,541,1287,118040,571112.000000
1,53,119967,593,0,124316.000000
1,54,696,560,119966,421210.000000
1,55,121447,209,0,104735.000000
1,56,290,284,121446,186184.000000
1,57,403,408,121735,325635.000000
1,58,122645,186,0,125.000000
1,59,349,877,122644,58873.000000
1,60,946,388,122992,497826.000000
1,61,124491,359,0,225736.000000
1,62,736,243,124490,32839.000000
1,63,796,1308,125225,147076.000000
